index,well,date,tide,hw,gate
58,0.144,11/12/2007 17:00,-0.873,0.4795,-1.52
59,0.104,11/12/2007 18:00,-0.909,0.4775,-1.52
60,0.034,11/12/2007 19:00,-0.68,0.471,-1.52
61,-0.026,11/12/2007 20:00,-0.368105263,0.466421053,-1.52
62,-0.056,11/12/2007 21:00,-0.0405,0.462,-1.52
63,-0.056,11/12/2007 22:00,0.231222222,0.458555556,-1.52
64,-0.056,11/12/2007 23:00,0.393444444,0.461333333,-1.52
65,-0.026,11/13/2007 0:00,0.258736842,0.466947368,-1.52
66,0.024,11/13/2007 1:00,-0.001,0.468,-1.52
67,0.094,11/13/2007 2:00,-0.325,0.47,-1.52
68,0.114,11/13/2007 3:00,-0.595,0.474,-1.52
69,0.124,11/13/2007 4:00,-0.8935,0.4735,-1.52
70,0.124,11/13/2007 5:00,-1.1345,0.468,-1.52
71,0.064,11/13/2007 6:00,-1.273,0.4645,-1.52
72,-0.006,11/13/2007 7:00,-1.1625,0.457,-1.52
73,-0.046,11/13/2007 8:00,-0.854333333,0.448555556,-1.52
74,-0.086,11/13/2007 9:00,-0.4475,0.4405,-1.52
75,-0.096,11/13/2007 10:00,-0.064421053,0.438,-1.52
76,-0.096,11/13/2007 11:00,0.242,0.4365,-1.52
77,-0.096,11/13/2007 12:00,0.3745,0.4295,-1.52
78,-0.066,11/13/2007 13:00,0.171,0.43,-1.52
79,-0.016,11/13/2007 14:00,-0.1705,0.428,-1.52
80,0.024,11/13/2007 15:00,-0.4675,0.428,-1.52
81,0.074,11/13/2007 16:00,-0.638105263,0.422210526,-1.52
82,0.094,11/13/2007 17:00,-0.8975,0.428,-1.52
83,0.064,11/13/2007 18:00,-1.028631579,0.419578947,-1.52
84,-0.016,11/13/2007 19:00,-0.876,0.413789474,-1.52
85,-0.066,11/13/2007 20:00,-0.6205,0.408,-1.52
86,-0.096,11/13/2007 21:00,-0.344,0.4075,-1.52
87,-0.096,11/13/2007 22:00,-0.097111111,0.399111111,-1.52
88,-0.096,11/13/2007 23:00,0.139,0.400222222,-1.52
89,-0.096,11/14/2007 0:00,0.191,0.4025,-1.52
90,-0.066,11/14/2007 1:00,0.0455,0.407,-1.52
91,-0.006,11/14/2007 2:00,-0.3495,0.407,-1.52
92,0.024,11/14/2007 3:00,-0.6525,0.408,-1.52
93,0.074,11/14/2007 4:00,-0.915,0.4085,-1.52
94,0.084,11/14/2007 5:00,-1.1615,0.406,-1.52
95,0.004,11/14/2007 6:00,-1.337,0.3995,-1.52
96,-0.056,11/14/2007 7:00,-1.3855,0.3975,-1.52
97,-0.096,11/14/2007 8:00,-1.1205,0.39,-1.52
98,-0.096,11/14/2007 9:00,-0.7635,0.381,-1.52
99,-0.096,11/14/2007 10:00,-0.418777778,0.371888889,-1.52
100,-0.096,11/14/2007 11:00,-0.045,0.369,-1.52
101,-0.096,11/14/2007 12:00,0.246,0.363,-1.52
102,-0.096,11/14/2007 13:00,0.3105,0.3665,-1.52
103,-0.086,11/14/2007 14:00,0.0725,0.37,-1.52
104,-0.026,11/14/2007 15:00,-0.1705,0.365,-1.52
105,0.014,11/14/2007 16:00,-0.3135,0.3575,-1.52
106,0.054,11/14/2007 17:00,-0.404,0.3595,-1.52
107,0.084,11/14/2007 18:00,-0.615,0.36,-1.52
108,0.084,11/14/2007 19:00,-0.7055,0.3575,-1.52
109,0.014,11/14/2007 20:00,-0.6075,0.357,-1.52
110,-0.056,11/14/2007 21:00,-0.3995,0.355,-1.52
111,-0.086,11/14/2007 22:00,-0.1515,0.356,-1.52
112,-0.096,11/14/2007 23:00,0.0985,0.358,-1.52
113,-0.106,11/15/2007 0:00,0.2665,0.36,-1.52
114,-0.096,11/15/2007 1:00,0.174,0.3605,-1.52
115,-0.036,11/15/2007 2:00,-0.126,0.3655,-1.52
116,0.014,11/15/2007 3:00,-0.476,0.367473684,-1.52
117,0.074,11/15/2007 4:00,-0.7655,0.368,-1.52
118,0.094,11/15/2007 5:00,-0.997578947,0.368,-1.52
119,0.084,11/15/2007 6:00,-1.234421053,0.260631579,-1.52
120,-0.016,11/15/2007 7:00,-1.373,0.224,-1.52
121,-0.076,11/15/2007 8:00,-1.397578947,0.242210526,-1.52
122,-0.106,11/15/2007 9:00,-1.097052632,0.332736842,-1.52
123,-0.106,11/15/2007 10:00,-0.796,0.33,-1.52
124,-0.106,11/15/2007 11:00,-0.4535,0.323,-1.52
125,-0.106,11/15/2007 12:00,-0.1335,0.3185,-1.52
126,-0.106,11/15/2007 13:00,0.072421053,0.315894737,-1.52
127,-0.106,11/15/2007 14:00,0.008736842,0.316421053,-1.52
128,-0.086,11/15/2007 15:00,-0.254,0.3155,-1.52
129,-0.026,11/15/2007 16:00,-0.572,0.3105,-1.52
130,0.014,11/15/2007 17:00,-0.828777778,0.306888889,-1.52
131,0.034,11/15/2007 18:00,-1.075411765,0.300352941,-1.52
132,0.014,11/15/2007 19:00,-1.311789474,0.299578947,-1.52
133,-0.066,11/15/2007 20:00,-1.4605,0.3025,-1.52
134,-0.106,11/15/2007 21:00,-1.3035,0.291,-1.52
135,-0.116,11/15/2007 22:00,-0.918,0.2915,-1.52
136,-0.126,11/15/2007 23:00,-0.634,0.286,-1.52
137,-0.126,11/16/2007 0:00,-0.372,0.281,-1.52
138,-0.116,11/16/2007 1:00,-0.156,0.2965,-1.52
139,-0.116,11/16/2007 2:00,-0.218,0.298,-1.52
140,-0.116,11/16/2007 3:00,-0.3385,0.299,-1.52
141,-0.086,11/16/2007 4:00,-0.6315,0.3005,-1.52
142,-0.026,11/16/2007 5:00,-0.857,0.3025,-1.52
143,-0.026,11/16/2007 6:00,-1.1215,0.2995,-1.52
144,-0.066,11/16/2007 7:00,-1.327578947,0.294842105,-1.52
145,-0.106,11/16/2007 8:00,-1.443368421,0.290105263,-1.52
146,-0.126,11/16/2007 9:00,-1.3385,0.287166667,-1.52
147,-0.126,11/16/2007 10:00,-1.137052632,0.283263158,-1.52
148,-0.126,11/16/2007 11:00,-0.800210526,0.276421053,-1.52
149,-0.116,11/16/2007 12:00,-0.4395,0.275,-1.52
150,-0.116,11/16/2007 13:00,-0.099,0.273,-1.52
151,-0.126,11/16/2007 14:00,0.109,0.269,-1.52
152,-0.126,11/16/2007 15:00,0.09,0.2685,-1.52
153,-0.106,11/16/2007 16:00,-0.154,0.274,-1.52
154,-0.086,11/16/2007 17:00,-0.4275,0.278,-1.52
155,-0.046,11/16/2007 18:00,-0.722,0.278,-1.52
156,-0.026,11/16/2007 19:00,-0.9875,0.278,-1.52
157,-0.006,11/16/2007 20:00,-1.209888889,0.278,-1.52
158,-0.076,11/16/2007 21:00,-1.249157895,0.270631579,-1.52
159,-0.116,11/16/2007 22:00,-1.045,0.268,-1.52
160,-0.136,11/16/2007 23:00,-0.792,0.2695,-1.52
161,-0.136,11/17/2007 0:00,-0.508,0.268,-1.52
162,-0.136,11/17/2007 1:00,-0.2505,0.269,-1.52
163,-0.116,11/17/2007 2:00,-0.0795,0.2735,-1.52
164,-0.116,11/17/2007 3:00,-0.0735,0.278,-1.52
165,-0.106,11/17/2007 4:00,-0.284,0.2785,-1.52
166,-0.076,11/17/2007 5:00,-0.5375,0.281,-1.52
167,-0.026,11/17/2007 6:00,-0.7915,0.2795,-1.52
168,-0.016,11/17/2007 7:00,-0.9895,0.2805,-1.52
169,-0.036,11/17/2007 8:00,-1.165,0.278,-1.52
170,-0.106,11/17/2007 9:00,-1.2635,0.269,-1.52
171,-0.126,11/17/2007 10:00,-1.166,0.2615,-1.52
172,-0.146,11/17/2007 11:00,-0.881,0.254,-1.52
173,-0.146,11/17/2007 12:00,-0.571,0.2505,-1.52
174,-0.146,11/17/2007 13:00,-0.2675,0.2535,-1.52
175,-0.126,11/17/2007 14:00,0.0355,0.253,-1.52
176,-0.116,11/17/2007 15:00,0.149,0.255777778,-1.52
177,-0.116,11/17/2007 16:00,-0.009,0.2605,-1.52
178,-0.086,11/17/2007 17:00,-0.292,0.268,-1.52
179,-0.036,11/17/2007 18:00,-0.568222222,0.268,-1.52
180,-0.016,11/17/2007 19:00,-0.8135,0.268,-1.52
181,0.014,11/17/2007 20:00,-1.0495,0.2645,-1.52
182,-0.026,11/17/2007 21:00,-1.181625,0.258,-1.52
183,-0.106,11/17/2007 22:00,-1.211,0.259,-1.52
184,-0.126,11/17/2007 23:00,-1.007,0.258,-1.52
185,-0.146,11/18/2007 0:00,-0.7215,0.267,-1.52
186,-0.146,11/18/2007 1:00,-0.390444444,0.258555556,-1.52
187,-0.146,11/18/2007 2:00,-0.16,0.258,-1.52
188,-0.126,11/18/2007 3:00,0.015,0.256,-1.52
189,-0.116,11/18/2007 4:00,-0.004,0.2685,-1.52
190,-0.096,11/18/2007 5:00,-0.2395,0.269,-1.52
191,-0.066,11/18/2007 6:00,-0.5005,0.274,-1.52
192,-0.026,11/18/2007 7:00,-0.7575,0.279,-1.52
193,0.004,11/18/2007 8:00,-0.993,0.2765,-1.52
194,-0.026,11/18/2007 9:00,-1.2005,0.2705,-1.52
195,-0.106,11/18/2007 10:00,-1.3405,0.259,-1.52
196,-0.126,11/18/2007 11:00,-1.243,0.2545,-1.52
197,-0.146,11/18/2007 12:00,-0.978,0.2475,-1.52
198,-0.146,11/18/2007 13:00,-0.6385,0.2465,-1.52
199,-0.146,11/18/2007 14:00,-0.3175,0.2445,-1.52
200,-0.136,11/18/2007 15:00,-0.0425,0.242,-1.52
201,-0.136,11/18/2007 16:00,0.112,0.2505,-1.52
202,-0.136,11/18/2007 17:00,-0.0445,0.256,-1.52
203,-0.116,11/18/2007 18:00,-0.3375,0.256,-1.52
204,-0.076,11/18/2007 19:00,-0.627,0.253,-1.52
205,-0.046,11/18/2007 20:00,-0.841,0.2585,-1.52
206,-0.026,11/18/2007 21:00,-1.0725,0.253,-1.52
207,-0.066,11/18/2007 22:00,-1.26,0.246,-1.52
208,-0.116,11/18/2007 23:00,-1.3265,0.2385,-1.52
209,-0.146,11/19/2007 0:00,-1.13,0.2325,-1.52
210,-0.156,11/19/2007 1:00,-0.829,0.228,-1.52
211,-0.156,11/19/2007 2:00,-0.474,0.2265,-1.52
212,-0.146,11/19/2007 3:00,-0.1755,0.2315,-1.52
213,-0.136,11/19/2007 4:00,0.048,0.246,-1.52
214,-0.136,11/19/2007 5:00,0.0685,0.248,-1.52
215,-0.126,11/19/2007 6:00,-0.207,0.253,-1.52
216,-0.086,11/19/2007 7:00,-0.521,0.209,-1.52
217,-0.056,11/19/2007 8:00,-0.798941176,0.262705882,-1.52
218,-0.026,11/19/2007 9:00,-1.0425,0.2005,-1.52
219,-0.036,11/19/2007 10:00,-1.2315,0.228,-1.52
220,-0.106,11/19/2007 11:00,-1.364,0.2145,-1.52
221,-0.136,11/19/2007 12:00,-1.27,0.211,-1.52
222,-0.156,11/19/2007 13:00,-1.004125,0.238,-1.52
223,-0.156,11/19/2007 14:00,-0.591454545,0.232545455,-1.52
224,-0.156,11/19/2007 15:00,-0.272,0.2275,-1.52
225,-0.146,11/19/2007 16:00,0.014,0.227,-1.52
226,-0.146,11/19/2007 17:00,0.2205,0.2295,-1.52
227,-0.146,11/19/2007 18:00,0.108,0.2365,-1.52
228,-0.116,11/19/2007 19:00,-0.2045,0.2385,-1.52
229,-0.076,11/19/2007 20:00,-0.497,0.2395,-1.52
230,-0.046,11/19/2007 21:00,-0.7315,0.2385,-1.52
231,-0.026,11/19/2007 22:00,-0.936,0.229,-1.52
232,-0.036,11/19/2007 23:00,-1.0875,0.2315,-1.52
233,-0.106,11/20/2007 0:00,-1.11,0.225,-1.52
234,-0.146,11/20/2007 1:00,-0.9255,0.2,-1.52
235,-0.156,11/20/2007 2:00,-0.582,0.2235,-1.52
236,-0.156,11/20/2007 3:00,-0.2585,0.2285,-1.52
237,-0.156,11/20/2007 4:00,0.107,0.234,-1.52
238,-0.136,11/20/2007 5:00,0.3605,0.239,-1.52
239,-0.126,11/20/2007 6:00,0.4395,0.2425,-1.52
240,-0.096,11/20/2007 7:00,0.1925,0.248,-1.52
241,-0.056,11/20/2007 8:00,-0.116526316,0.246947368,-1.52
242,-0.026,11/20/2007 9:00,-0.416,0.246947368,-1.52
243,0.014,11/20/2007 10:00,-0.6555,0.2415,-1.52
244,0.024,11/20/2007 11:00,-0.8275,0.237,-1.52
245,0.014,11/20/2007 12:00,-1.017,0.232,-1.52
246,-0.076,11/20/2007 13:00,-0.962315789,0.229052632,-1.52
247,-0.116,11/20/2007 14:00,-0.6775,0.221,-1.52
248,-0.146,11/20/2007 15:00,-0.327,0.218,-1.52
249,-0.156,11/20/2007 16:00,0.005764706,0.216823529,-1.52
250,-0.176,11/20/2007 17:00,0.317846154,0.218769231,-1.52
251,-0.176,11/20/2007 18:00,0.464,0.216823529,-1.52
252,-0.146,11/20/2007 19:00,0.277076923,0.217230769,-1.52
253,-0.116,11/20/2007 20:00,0.009263158,0.221157895,-1.52
254,-0.086,11/20/2007 21:00,-0.327,0.223,-1.52
255,-0.056,11/20/2007 22:00,-0.5645,0.227,-1.52
256,-0.026,11/20/2007 23:00,-0.851,0.2265,-1.52
257,-0.016,11/21/2007 0:00,-1.079,0.2245,-1.52
258,-0.066,11/21/2007 1:00,-1.2295,0.2245,-1.52
259,-0.126,11/21/2007 2:00,-1.02,0.224,-1.52
260,-0.146,11/21/2007 3:00,-0.701,0.2245,-1.52
261,-0.156,11/21/2007 4:00,-0.29,0.228,-1.52
262,-0.156,11/21/2007 5:00,0.1055,0.2335,-1.52
263,-0.136,11/21/2007 6:00,0.417,0.2385,-1.52
264,-0.116,11/21/2007 7:00,0.4945,0.2425,-1.52
265,-0.086,11/21/2007 8:00,0.179263158,0.245894737,-1.52
266,-0.046,11/21/2007 9:00,-0.167176471,0.249176471,-1.52
267,-0.006,11/21/2007 10:00,-0.532,0.248,-1.52
268,0.014,11/21/2007 11:00,-0.7705,0.2425,-1.52
269,0.024,11/21/2007 12:00,-1.017,0.2355,-1.52
270,0.004,11/21/2007 13:00,-1.183222222,0.228,-1.52
271,-0.086,11/21/2007 14:00,-1.1065,0.2185,-1.52
272,-0.126,11/21/2007 15:00,-0.786526316,0.214842105,-1.52
273,-0.156,11/21/2007 16:00,-0.439,0.215,-1.52
274,-0.156,11/21/2007 17:00,-0.0195,0.216,-1.52
275,-0.156,11/21/2007 18:00,0.289,0.201,-1.52
276,-0.136,11/21/2007 19:00,0.46,0.218,-1.52
277,-0.096,11/21/2007 20:00,0.226,0.2195,-1.52
278,-0.066,11/21/2007 21:00,-0.1395,0.2215,-1.52
279,-0.026,11/21/2007 22:00,-0.4865,0.163,-1.52
280,0.004,11/21/2007 23:00,-0.7785,0.1985,-1.52
281,0.024,11/22/2007 0:00,-1.0725,0.172,-1.52
282,-0.006,11/22/2007 1:00,-1.3215,0.2175,-1.52
283,-0.096,11/22/2007 2:00,-1.4895,0.2065,-1.52
284,-0.136,11/22/2007 3:00,-1.3145,0.207,-1.52
285,-0.146,11/22/2007 4:00,-0.94,0.207,-1.52
286,-0.146,11/22/2007 5:00,-0.464,0.205,-1.52
287,-0.146,11/22/2007 6:00,0.024,0.2105,-1.52
288,-0.136,11/22/2007 7:00,0.3805,0.072,-1.52
289,-0.136,11/22/2007 8:00,0.4435,0.116,-1.52
290,-0.116,11/22/2007 9:00,0.076,0.2005,-1.52
291,-0.076,11/22/2007 10:00,-0.2945,0.2115,-1.52
292,-0.046,11/22/2007 11:00,-0.6325,0.18,-1.52
293,-0.016,11/22/2007 12:00,-0.94,0.2035,-1.52
294,0.014,11/22/2007 13:00,-1.242,0.175,-1.52
295,-0.046,11/22/2007 14:00,-1.4135,0.195,-1.52
296,-0.116,11/22/2007 15:00,-1.411,0.197,-1.52
297,-0.146,11/22/2007 16:00,-1.058,0.216,-1.52
298,-0.146,11/22/2007 17:00,-0.6535,0.2055,-1.52
299,-0.146,11/22/2007 18:00,-0.213,0.217,-1.52
300,-0.146,11/22/2007 19:00,0.11,0.218,-1.52
301,-0.146,11/22/2007 20:00,0.1775,0.2185,-1.52
302,-0.146,11/22/2007 21:00,-0.150210526,0.219578947,-1.52
303,-0.106,11/22/2007 22:00,-0.4915,0.2225,-1.52
304,-0.076,11/22/2007 23:00,-0.846,0.219,-1.52
305,-0.046,11/23/2007 0:00,-1.1395,0.218,-1.52
306,-0.036,11/23/2007 1:00,-1.4505,0.218,-1.52
307,-0.106,11/23/2007 2:00,-1.7095,0.2125,-1.52
308,-0.146,11/23/2007 3:00,-1.8805,0.208,-1.52
309,-0.146,11/23/2007 4:00,-1.69,0.208,-1.52
310,-0.146,11/23/2007 5:00,-1.2975,0.208,-1.52
311,-0.146,11/23/2007 6:00,-0.7615,0.208,-1.52
312,-0.146,11/23/2007 7:00,-0.2415,0.208,-1.52
313,-0.166,11/23/2007 8:00,0.162,0.208,-1.52
314,-0.166,11/23/2007 9:00,0.2685,0.208,-1.52
315,-0.146,11/23/2007 10:00,-0.045,0.2085,-1.52
316,-0.106,11/23/2007 11:00,-0.4155,0.182,-1.52
317,-0.076,11/23/2007 12:00,-0.7745,0.1515,-1.52
318,-0.056,11/23/2007 13:00,-1.0925,0.161,-1.52
319,-0.036,11/23/2007 14:00,-1.3535,0.1985,-1.52
320,-0.106,11/23/2007 15:00,-1.542,0.198,-1.52
321,-0.146,11/23/2007 16:00,-1.4105,0.198,-1.52
322,-0.166,11/23/2007 17:00,-1.0385,0.198,-1.52
323,-0.166,11/23/2007 18:00,-0.5645,0.198,-1.52
324,-0.166,11/23/2007 19:00,-0.103,0.198,-1.52
325,-0.146,11/23/2007 20:00,0.2525,0.198,-1.52
326,-0.146,11/23/2007 21:00,0.302,0.2,-1.52
327,-0.136,11/23/2007 22:00,-0.0595,0.1875,-1.52
328,-0.106,11/23/2007 23:00,-0.4225,0.205,-1.52
329,-0.076,11/24/2007 0:00,-0.8075,0.178,-1.52
330,-0.046,11/24/2007 1:00,-1.1405,0.2095,-1.52
331,-0.026,11/24/2007 2:00,-1.449,0.208,-1.52
332,-0.096,11/24/2007 3:00,-1.689,0.2075,-1.52
333,-0.146,11/24/2007 4:00,-1.798,0.2075,-1.52
334,-0.146,11/24/2007 5:00,-1.497,0.207,-1.52
335,-0.146,11/24/2007 6:00,-1.0945,0.2045,-1.52
336,-0.146,11/24/2007 7:00,-0.5395,0.1425,-1.52
337,-0.146,11/24/2007 8:00,-0.0115,0.1945,-1.52
338,-0.176,11/24/2007 9:00,0.4105,0.0845,-1.52
339,-0.176,11/24/2007 10:00,0.421,0.1995,-1.52
340,-0.166,11/24/2007 11:00,0.062,0.2,-1.52
341,-0.136,11/24/2007 12:00,-0.3315,0.2,-1.52
342,-0.106,11/24/2007 13:00,-0.669,0.2,-1.52
343,-0.086,11/24/2007 14:00,-0.9865,0.1985,-1.52
344,-0.066,11/24/2007 15:00,-1.2185,0.1925,-1.52
345,-0.076,11/24/2007 16:00,-1.382,0.127,-1.52
346,-0.126,11/24/2007 17:00,-1.234,0.1365,-1.52
347,-0.166,11/24/2007 18:00,-0.8745,0.1775,-1.52
348,-0.176,11/24/2007 19:00,-0.387,0.03,-1.52
349,-0.176,11/24/2007 20:00,0.09,0.0665,-1.52
350,-0.156,11/24/2007 21:00,0.4335,0.075,-1.52
351,-0.136,11/24/2007 22:00,0.4225,0.033,-1.52
352,-0.106,11/24/2007 23:00,0.1205,0.156,-1.52
353,-0.076,11/25/2007 0:00,-0.267,0.207,-1.52
354,-0.036,11/25/2007 1:00,-0.6145,0.209,-1.52
355,-0.006,11/25/2007 2:00,-0.9535,0.151,-1.52
356,0.014,11/25/2007 3:00,-1.251,0.1565,-1.52
357,-0.026,11/25/2007 4:00,-1.5145,0.1995,-1.52
358,-0.106,11/25/2007 5:00,-1.6085,0.1995,-1.52
359,-0.146,11/25/2007 6:00,-1.3675,0.126,-1.52
360,-0.146,11/25/2007 7:00,-0.97,0.199,-1.52
361,-0.146,11/25/2007 8:00,-0.429,0.196,-1.52
362,-0.146,11/25/2007 9:00,0.083,0.193,-1.52
363,-0.146,11/25/2007 10:00,0.4385,0.1915,-1.52
364,-0.156,11/25/2007 11:00,0.3695,0.1925,-1.52
365,-0.136,11/25/2007 12:00,0.019789474,0.192736842,-1.52
366,-0.116,11/25/2007 13:00,-0.365,0.1915,-1.52
367,-0.096,11/25/2007 14:00,-0.699,0.187,-1.52
368,-0.066,11/25/2007 15:00,-1.0135,0.186,-1.52
369,-0.046,11/25/2007 16:00,-1.3095,-0.064,-1.52
370,-0.096,11/25/2007 17:00,-1.4755,0.072,-1.52
371,-0.146,11/25/2007 18:00,-1.3295,0.041,-1.52
372,-0.166,11/25/2007 19:00,-0.946555556,0.171333333,-1.52
373,-0.166,11/25/2007 20:00,-0.446,0.175368421,-1.52
374,-0.156,11/25/2007 21:00,0.0015,0.16425,-1.52
375,-0.146,11/25/2007 22:00,0.3275,0.1655,-1.52
376,-0.146,11/25/2007 23:00,0.282,0.1955,-1.52
