index,well,date,tide,hw,
44,0.798,11/26/2007 20:00,-0.562526316,-0.230421053,
45,0.798,11/26/2007 21:00,-0.073666667,-0.015333333,
46,0.788,11/26/2007 22:00,0.218357143,0.136214286,
47,0.788,11/26/2007 23:00,0.068588235,0.248588235,
48,0.788,11/27/2007 0:00,-0.327,0.3135,
49,0.788,11/27/2007 1:00,-0.759916667,0.215916667,
50,0.788,11/27/2007 2:00,-1.247263158,-0.074631579,
51,0.778,11/27/2007 3:00,-1.651,-0.2735,
52,0.778,11/27/2007 4:00,-1.981,-0.4485,
53,0.778,11/27/2007 5:00,-2.5412,-0.1856,
54,0.768,11/27/2007 6:00,-2.4375,0.0885,
55,0.768,11/27/2007 7:00,-1.9795,0.219,
56,0.758,11/27/2007 8:00,-1.364,0.295,
57,0.748,11/27/2007 9:00,-0.614916667,0.22925,
58,0.748,11/27/2007 10:00,-0.043,0.205,
59,0.738,11/27/2007 11:00,0.2808,0.3256,
60,0.738,11/27/2007 12:00,0.1328,0.3416,
61,0.738,11/27/2007 13:00,-0.284222222,0.199666667,
62,0.728,11/27/2007 14:00,-0.764,0.0475,
63,0.728,11/27/2007 15:00,-1.2145,-0.12075,
64,0.728,11/27/2007 16:00,-1.606736842,-0.295157895,
65,0.718,11/27/2007 17:00,-1.8805,-0.4385,
66,0.718,11/27/2007 18:00,-2.098666667,-0.341583333,
67,0.718,11/27/2007 19:00,-1.8765,0.0075,
68,0.708,11/27/2007 20:00,-1.3495,0.1775,
69,0.708,11/27/2007 21:00,-0.767,0.281,
70,0.708,11/27/2007 22:00,-0.194,0.312,
71,0.708,11/27/2007 23:00,0.0605,0.275,
72,0.708,11/28/2007 0:00,-0.08,0.226,
73,0.708,11/28/2007 1:00,-0.451,0.119,
74,0.708,11/28/2007 2:00,-0.8895,-0.027,
75,0.708,11/28/2007 3:00,-1.327,-0.188,
76,0.698,11/28/2007 4:00,-1.6815,-0.3455,
77,0.698,11/28/2007 5:00,-2.07825,-0.436583333,
78,0.688,11/28/2007 6:00,-2.523578947,-0.057789474,
79,0.688,11/28/2007 7:00,-2.257294118,0.130352941,
80,0.688,11/28/2007 8:00,-1.7945,0.2385,
81,0.678,11/28/2007 9:00,-1.1915,0.316,
82,0.678,11/28/2007 10:00,-0.49825,0.22425,
83,0.678,11/28/2007 11:00,-0.012,0.22,
84,0.678,11/28/2007 12:00,0.191,0.2825,
85,0.668,11/28/2007 13:00,-0.0515,0.2265,
86,0.668,11/28/2007 14:00,-0.4745,0.115,
87,0.668,11/28/2007 15:00,-0.921,-0.0335,
88,0.668,11/28/2007 16:00,-1.3395,-0.1945,
89,0.658,11/28/2007 17:00,-1.661,-0.345,
90,0.658,11/28/2007 18:00,-1.882526316,-0.472526316,
91,0.658,11/28/2007 19:00,-2.0448,-0.3244,
92,0.648,11/28/2007 20:00,-1.771473684,0.002736842,
93,0.648,11/28/2007 21:00,-1.282,0.169578947,
94,0.648,11/28/2007 22:00,-0.723578947,0.269578947,
95,0.648,11/28/2007 23:00,-0.238818182,0.331181818,
96,0.638,11/29/2007 0:00,0.037090909,0.259363636,
97,0.638,11/29/2007 1:00,-0.0945,0.216,
98,0.638,11/29/2007 2:00,-0.433052632,0.114842105,
99,0.638,11/29/2007 3:00,-0.86,-0.0265,
100,0.628,11/29/2007 4:00,-1.280235294,-0.180823529,
101,0.628,11/29/2007 5:00,-1.625,-0.3335,
102,0.628,11/29/2007 6:00,-1.902,-0.4715,
103,0.628,11/29/2007 7:00,-2.346210526,-0.185157895,
104,0.618,11/29/2007 8:00,-2.087263158,0.077473684,
105,0.618,11/29/2007 9:00,-1.632,0.2005,
106,0.618,11/29/2007 10:00,-1.0615,0.2855,
107,0.618,11/29/2007 11:00,-0.417416667,0.2955,
108,0.618,11/29/2007 12:00,-0.022,0.2355,
109,0.608,11/29/2007 13:00,0.1095,0.254,
110,0.608,11/29/2007 14:00,-0.1575,0.1875,
111,0.608,11/29/2007 15:00,-0.5495,0.072,
112,0.608,11/29/2007 16:00,-0.9685,-0.0745,
113,0.598,11/29/2007 17:00,-1.3515,-0.223,
114,0.598,11/29/2007 18:00,-1.630235294,-0.359058824,
115,0.598,11/29/2007 19:00,-1.855888889,-0.488111111,
116,0.598,11/29/2007 20:00,-1.91675,-0.515,
117,0.598,11/29/2007 21:00,-1.7615,-0.113,
118,0.598,11/29/2007 22:00,-1.304,0.08,
119,0.588,11/29/2007 23:00,-0.8205,0.1935,
120,0.588,11/30/2007 0:00,-0.400235294,0.273294118,
121,0.588,11/30/2007 1:00,-0.153052632,0.329578947,
122,0.588,11/30/2007 2:00,-0.206583333,0.228416667,
123,0.588,11/30/2007 3:00,-0.562,0.084666667,
124,0.578,11/30/2007 4:00,-0.980421053,-0.076736842,
125,0.578,11/30/2007 5:00,-1.358,-0.234,
126,0.578,11/30/2007 6:00,-1.67,-0.3805,
127,0.568,11/30/2007 7:00,-2.046666667,-0.443666667,
128,0.568,11/30/2007 8:00,-2.341,-0.0885,
129,0.568,11/30/2007 9:00,-2.036210526,0.082736842,
130,0.558,11/30/2007 10:00,-1.5875,0.188,
131,0.558,11/30/2007 11:00,-1.0475,0.264,
132,0.558,11/30/2007 12:00,-0.5285,0.3185,
133,0.548,11/30/2007 13:00,-0.120333333,0.263833333,
134,0.548,11/30/2007 14:00,-0.1295,0.1945,
135,0.548,11/30/2007 15:00,-0.401,0.1035,
136,0.548,11/30/2007 16:00,-0.757,-0.025,
137,0.548,11/30/2007 17:00,-1.134,-0.17,
138,0.538,11/30/2007 18:00,-1.4595,-0.31,
139,0.538,11/30/2007 19:00,-1.7245,-0.443,
140,0.538,11/30/2007 20:00,-2.129083333,-0.299083333,
141,0.528,11/30/2007 21:00,-2.157,-0.0055,
142,0.528,11/30/2007 22:00,-1.824,0.1515,
143,0.528,11/30/2007 23:00,-1.386,0.2395,
144,0.518,12/1/2007 0:00,-0.935,0.3015,
145,0.518,12/1/2007 1:00,-0.46075,0.305916667,
146,0.518,12/1/2007 2:00,-0.2775,0.1715,
147,0.518,12/1/2007 3:00,-0.3915,0.0945,
148,0.518,12/1/2007 4:00,-0.693578947,-0.016210526,
149,0.518,12/1/2007 5:00,-1.0485,-0.1485,
150,0.518,12/1/2007 6:00,-1.3875,-0.291,
151,0.508,12/1/2007 7:00,-1.6645,-0.4245,
152,0.508,12/1/2007 8:00,-2.032,-0.362,
153,0.508,12/1/2007 9:00,-2.2435,-0.04,
154,0.508,12/1/2007 10:00,-1.9775,0.1125,
155,0.498,12/1/2007 11:00,-1.5845,0.2005,
156,0.498,12/1/2007 12:00,-1.1335,0.262,
157,0.498,12/1/2007 13:00,-0.677,0.3115,
158,0.488,12/1/2007 14:00,-0.271583333,0.308,
159,0.488,12/1/2007 15:00,-0.2565,0.173,
160,0.488,12/1/2007 16:00,-0.48,0.076,
161,0.488,12/1/2007 17:00,-0.806,-0.0515,
162,0.488,12/1/2007 18:00,-1.1655,-0.1935,
163,0.488,12/1/2007 19:00,-1.477,-0.333,
164,0.488,12/1/2007 20:00,-1.752,-0.467,
165,0.488,12/1/2007 21:00,-2.187,-0.230333333,
166,0.488,12/1/2007 22:00,-2.104,0.021,
167,0.488,12/1/2007 23:00,-1.780947368,0.149578947,
168,0.478,12/2/2007 0:00,-1.37,0.2295,
169,0.478,12/2/2007 1:00,-0.914,0.286,
170,0.478,12/2/2007 2:00,-0.493,0.333,
171,0.478,12/2/2007 3:00,-0.1936,0.2508,
172,0.478,12/2/2007 4:00,-0.2755,0.1445,
173,0.478,12/2/2007 5:00,-0.534631579,0.038526316,
174,0.478,12/2/2007 6:00,-0.872526316,-0.087263158,
175,0.478,12/2/2007 7:00,-1.2355,-0.2345,
176,0.478,12/2/2007 8:00,-1.522,-0.372,
177,0.468,12/2/2007 9:00,-1.77575,-0.473666667,
178,0.468,12/2/2007 10:00,-1.996761905,-0.125809524,
179,0.468,12/2/2007 11:00,-1.735,0.0395,
180,0.468,12/2/2007 12:00,-1.3415,0.1445,
181,0.468,12/2/2007 13:00,-0.8985,0.2195,
182,0.468,12/2/2007 14:00,-0.5055,0.274,
183,0.468,12/2/2007 15:00,-0.243,0.314,
184,0.468,12/2/2007 16:00,-0.277238095,0.346095238,
185,0.468,12/2/2007 17:00,-0.466347826,0.145391304,
186,0.458,12/2/2007 18:00,-0.8435,-0.018,
187,0.458,12/2/2007 19:00,-1.2055,-0.179,
188,0.458,12/2/2007 20:00,-1.519,-0.335,
189,0.458,12/2/2007 21:00,-1.796761905,-0.483904762,
190,0.458,12/2/2007 22:00,-2.292,-0.157652174,
191,0.448,12/2/2007 23:00,-2.201473684,0.043263158,
192,0.448,12/3/2007 0:00,-1.8695,0.151125,
193,0.448,12/3/2007 1:00,-1.439222222,0.223555556,
194,0.448,12/3/2007 2:00,-0.952,0.2825,
195,0.448,12/3/2007 3:00,-0.527882353,0.323882353,
196,0.448,12/3/2007 4:00,-0.302434783,0.284956522,
197,0.448,12/3/2007 5:00,-0.4475,0.1125,
198,0.448,12/3/2007 6:00,-0.7155,-0.02,
199,0.448,12/3/2007 7:00,-1.0685,-0.1635,
200,0.448,12/3/2007 8:00,-1.3915,-0.308,
201,0.438,12/3/2007 9:00,-1.6445,-0.441,
202,0.438,12/3/2007 10:00,-2.03825,-0.3045,
203,0.438,12/3/2007 11:00,-2.126,-0.021,
204,0.438,12/3/2007 12:00,-1.8865,0.124,
205,0.438,12/3/2007 13:00,-1.5225,0.2105,
206,0.438,12/3/2007 14:00,-1.103,0.27,
207,0.438,12/3/2007 15:00,-0.709,0.3115,
208,0.438,12/3/2007 16:00,-0.4375,0.344,
209,0.428,12/3/2007 17:00,-0.354608696,0.200608696,
210,0.428,12/3/2007 18:00,-0.6085,0.0425,
211,0.428,12/3/2007 19:00,-0.949,-0.1105,
212,0.428,12/3/2007 20:00,-1.312,-0.265,
213,0.428,12/3/2007 21:00,-1.6175,-0.4145,
214,0.428,12/3/2007 22:00,-2.07075,-0.338666667,
215,0.428,12/3/2007 23:00,-2.384222222,-0.043111111,
216,0.418,12/4/2007 0:00,-2.214777778,0.104111111,
217,0.418,12/4/2007 1:00,-1.855,0.1895,
218,0.418,12/4/2007 2:00,-1.4115,0.248,
219,0.418,12/4/2007 3:00,-0.924,0.294,
220,0.418,12/4/2007 4:00,-0.46,0.326,
221,0.418,12/4/2007 5:00,-0.1595,0.287583333,
222,0.408,12/4/2007 6:00,-0.255,0.1545,
223,0.408,12/4/2007 7:00,-0.5355,0.0335,
224,0.408,12/4/2007 8:00,-0.8865,-0.107,
225,0.408,12/4/2007 9:00,-1.229,-0.25,
226,0.408,12/4/2007 10:00,-1.4855,-0.3835,
227,0.408,12/4/2007 11:00,-1.648,-0.4905,
228,0.408,12/4/2007 12:00,-1.777882353,-0.351117647,
229,0.408,12/4/2007 13:00,-1.537263158,-0.047789474,
230,0.408,12/4/2007 14:00,-1.1615,0.0955,
231,0.398,12/4/2007 15:00,-0.7475,0.1825,
232,0.398,12/4/2007 16:00,-0.37,0.238,
233,0.398,12/4/2007 17:00,-0.0895,0.276,
234,0.398,12/4/2007 18:00,-0.117,0.307,
235,0.398,12/4/2007 19:00,-0.427555556,0.333,
236,0.398,12/4/2007 20:00,-0.769083333,0.213416667,
237,0.398,12/4/2007 21:00,-1.166210526,-0.086210526,
238,0.398,12/4/2007 22:00,-1.497,-0.278,
239,0.388,12/4/2007 23:00,-1.744777778,-0.438666667,
240,0.388,12/5/2007 0:00,-2.059826087,-0.286347826,
241,0.388,12/5/2007 1:00,-1.8945,-0.017,
242,0.388,12/5/2007 2:00,-1.499,0.119,
243,0.388,12/5/2007 3:00,-1.0065,0.2005,
244,0.388,12/5/2007 4:00,-0.4885,0.2525,
245,0.388,12/5/2007 5:00,-0.0215,0.2955,
246,0.378,12/5/2007 6:00,0.189111111,0.325222222,
247,0.378,12/5/2007 7:00,0.010608696,0.333652174,
248,0.378,12/5/2007 8:00,-0.341,0.149,
249,0.378,12/5/2007 9:00,-0.719,-0.008,
250,0.368,12/5/2007 10:00,-1.072,-0.159,
251,0.368,12/5/2007 11:00,-1.372555556,-0.302555556,
252,0.368,12/5/2007 12:00,-1.5215,-0.4215,
253,0.368,12/5/2007 13:00,-1.459,-0.4775,
254,0.368,12/5/2007 14:00,-1.2065,-0.4645,
255,0.368,12/5/2007 15:00,-0.8565,-0.3915,
256,0.368,12/5/2007 16:00,-0.4675,-0.257,
257,0.368,12/5/2007 17:00,-0.124777778,-0.077,
258,0.368,12/5/2007 18:00,0.036,0.06,
259,0.368,12/5/2007 19:00,-0.092434783,0.141043478,
260,0.378,12/5/2007 20:00,-0.416285714,0.193714286,
261,0.378,12/5/2007 21:00,-0.8345,0.2385,
262,0.338,12/5/2007 22:00,-1.2555,0.271,
263,0.348,12/5/2007 23:00,-1.657,0.2985,
,,,,,
