Year,Month,yday,date,Tide range (m)
2007,8,14,8/14/2007,0.686
2007,8,15,8/15/2007,0.629
2007,8,16,8/16/2007,0.599
2007,8,17,8/17/2007,0.599
2007,8,18,8/18/2007,0.548
2007,8,19,8/19/2007,0.51
2007,8,20,8/20/2007,0.463
2007,8,21,8/21/2007,0.434
2007,8,22,8/22/2007,0.44
2007,8,23,8/23/2007,0.481
2007,8,24,8/24/2007,0.542
2007,8,25,8/25/2007,0.573
2007,8,26,8/26/2007,0.683
2007,8,27,8/27/2007,0.729
2007,8,28,8/28/2007,0.784
2007,8,29,8/29/2007,0.773
2007,8,30,8/30/2007,0.832
2007,8,31,8/31/2007,0.841
2007,9,1,9/1/2007,0.819
2007,9,2,9/2/2007,0.786
2007,9,3,9/3/2007,0.7
2007,9,4,9/4/2007,0.658
2007,9,5,9/5/2007,0.642
2007,9,6,9/6/2007,0.598
2007,9,7,9/7/2007,0.646
2007,9,8,9/8/2007,0.68
2007,9,9,9/9/2007,0.642
2007,9,10,9/10/2007,0.697
2007,9,11,9/11/2007,0.666
2007,9,12,9/12/2007,0.653
2007,9,13,9/13/2007,0.632
2007,9,14,9/14/2007,0.674
2007,9,15,9/15/2007,0.591
2007,9,16,9/16/2007,0.596
2007,9,17,9/17/2007,0.522
2007,9,18,9/18/2007,0.502
2007,9,19,9/19/2007,0.466
2007,9,20,9/20/2007,0.483
2007,9,21,9/21/2007,0.484
2007,9,22,9/22/2007,0.547
2007,9,23,9/23/2007,0.638
2007,9,24,9/24/2007,0.698
2007,9,25,9/25/2007,0.756
2007,9,26,9/26/2007,0.84
2007,9,27,9/27/2007,0.863
2007,9,28,9/28/2007,0.898
2007,9,29,9/29/2007,0.923
2007,9,30,9/30/2007,0.858
2007,10,1,10/1/2007,0.758
2007,10,2,10/2/2007,0.701
2007,10,3,10/3/2007,0.668
2007,10,4,10/4/2007,0.593
2007,10,5,10/5/2007,0.583
2007,10,6,10/6/2007,0.579
2007,10,7,10/7/2007,0.636
2007,10,8,10/8/2007,0.638
2007,10,9,10/9/2007,0.653
2007,10,10,10/10/2007,0.666
2007,10,11,10/11/2007,0.697
2007,10,12,10/12/2007,0.645
2007,10,13,10/13/2007,0.652
2007,10,14,10/14/2007,0.619
2007,10,15,10/15/2007,0.552
2007,10,16,10/16/2007,0.534
2007,10,17,10/17/2007,0.533
2007,10,18,10/18/2007,0.476
2007,10,19,10/19/2007,0.461
2007,10,20,10/20/2007,0.515
2007,10,21,10/21/2007,0.557
2007,10,22,10/22/2007,0.605
2007,10,23,10/23/2007,0.673
2007,10,24,10/24/2007,0.792
2007,10,25,10/25/2007,0.827
2007,10,26,10/26/2007,0.899
2007,10,27,10/27/2007,0.919
2007,10,28,10/28/2007,0.888
2007,10,29,10/29/2007,0.872
2007,10,30,10/30/2007,0.721
2007,10,31,10/31/2007,0.683
2007,11,1,11/1/2007,0.574
2007,11,2,11/2/2007,0.588
2007,11,3,11/3/2007,0.593
2007,11,4,11/4/2007,0.576
2007,11,5,11/5/2007,0.607
2007,11,6,11/6/2007,0.62
2007,11,7,11/7/2007,0.671
2007,11,8,11/8/2007,0.642
2007,11,9,11/9/2007,0.662
2007,11,10,11/10/2007,0.669
2007,11,11,11/11/2007,0.684
2007,11,12,11/12/2007,0.621
2007,11,13,11/13/2007,0.605
2007,11,14,11/14/2007,0.582
2007,11,15,11/15/2007,0.564
2007,11,16,11/16/2007,0.558
2007,11,17,11/17/2007,0.507
2007,11,18,11/18/2007,0.515
2007,11,19,11/19/2007,0.617
2007,11,20,11/20/2007,0.644
2007,11,21,11/21/2007,0.688
2007,11,22,11/22/2007,0.779
2007,11,23,11/23/2007,0.868
2007,11,24,11/24/2007,0.919
2007,11,25,11/25/2007,0.893
2007,11,26,11/26/2007,0.863
2007,11,27,11/27/2007,0.786
2007,11,28,11/28/2007,0.71
2007,11,29,11/29/2007,0.642
2007,11,30,11/30/2007,0.585
2007,12,1,12/1/2007,0.577
2007,12,2,12/2/2007,0.529
2007,12,3,12/3/2007,0.523
2007,12,4,12/4/2007,0.555
2007,12,5,12/5/2007,0.61
2007,12,6,12/6/2007,0.596
2007,12,7,12/7/2007,0.621
2007,12,8,12/8/2007,0.617
2007,12,9,12/9/2007,0.666
2007,12,10,12/10/2007,0.634
2007,12,11,12/11/2007,0.649
2007,12,12,12/12/2007,0.632
2007,12,13,12/13/2007,0.644
2007,12,14,12/14/2007,0.556
2007,12,15,12/15/2007,0.606
2007,12,16,12/16/2007,0.67
2007,12,17,12/17/2007,0.584
2007,12,18,12/18/2007,0.601
2007,12,19,12/19/2007,0.657
2007,12,20,12/20/2007,0.698
2007,12,21,12/21/2007,0.787
2007,12,22,12/22/2007,0.854
2007,12,23,12/23/2007,0.845
2007,12,24,12/24/2007,0.868
2007,12,25,12/25/2007,0.853
2007,12,26,12/26/2007,0.864
2007,12,27,12/27/2007,0.718
2007,12,28,12/28/2007,0.694
2007,12,29,12/29/2007,0.604
2007,12,30,12/30/2007,0.646
2007,12,31,12/31/2007,0.467
2008,1,1,1/1/2008,0.674
2008,1,2,1/2/2008,0.502
2008,1,3,1/3/2008,0.528
2008,1,4,1/4/2008,0.546
2008,1,5,1/5/2008,0.579
2008,1,6,1/6/2008,0.577
2008,1,7,1/7/2008,0.643
2008,1,8,1/8/2008,0.639
2008,1,9,1/9/2008,0.662
2008,1,10,1/10/2008,0.693
2008,1,11,1/11/2008,0.702
2008,1,12,1/12/2008,0.663
2008,1,13,1/13/2008,0.64
2008,1,14,1/14/2008,0.664
2008,1,15,1/15/2008,0.604
2008,1,16,1/16/2008,0.586
2008,1,17,1/17/2008,0.677
2008,1,18,1/18/2008,0.643
2008,1,19,1/19/2008,0.707
2008,1,20,1/20/2008,0.714
2008,1,21,1/21/2008,0.815
2008,1,22,1/22/2008,0.774
2008,1,23,1/23/2008,0.803
2008,1,24,1/24/2008,0.773
2008,1,25,1/25/2008,0.707
2008,1,26,1/26/2008,0.679
2008,1,27,1/27/2008,0.642
2008,1,28,1/28/2008,0.586
2008,1,29,1/29/2008,0.532
2008,1,30,1/30/2008,0.585
2008,1,31,1/31/2008,0.446
2008,2,1,2/1/2008,0.508
2008,2,2,2/2/2008,0.501
2008,2,3,2/3/2008,0.508
2008,2,4,2/4/2008,0.567
2008,2,5,2/5/2008,0.625
2008,2,6,2/6/2008,0.669
2008,2,7,2/7/2008,0.686
2008,2,8,2/8/2008,0.749
2008,2,9,2/9/2008,0.75
2008,2,10,2/10/2008,0.743
2008,2,11,2/11/2008,0.681
2008,2,12,2/12/2008,0.636
2008,2,13,2/13/2008,0.829
2008,2,14,2/14/2008,0.644
2008,2,15,2/15/2008,0.599
2008,2,16,2/16/2008,0.57
2008,2,17,2/17/2008,0.646
2008,2,18,2/18/2008,0.673
2008,2,19,2/19/2008,0.679
2008,2,20,2/20/2008,0.761
2008,2,21,2/21/2008,0.724
2008,2,22,2/22/2008,0.747
2008,2,23,2/23/2008,0.66
2008,2,24,2/24/2008,0.606
2008,2,25,2/25/2008,0.608
2008,2,26,2/26/2008,0.529
2008,2,27,2/27/2008,0.622
2008,2,28,2/28/2008,0.424
2008,2,29,2/29/2008,0.393
2008,3,1,3/1/2008,0.417
2008,3,2,3/2/2008,0.406
2008,3,3,3/3/2008,0.448
2008,3,4,3/4/2008,0.511
2008,3,5,3/5/2008,0.624
2008,3,6,3/6/2008,0.692
2008,3,7,3/7/2008,0.782
2008,3,8,3/8/2008,0.772
2008,3,9,3/9/2008,0.813
2008,3,10,3/10/2008,0.795
2008,3,11,3/11/2008,0.737
2008,3,12,3/12/2008,0.741
2008,3,13,3/13/2008,0.677
2008,3,14,3/14/2008,0.611
2008,3,15,3/15/2008,0.593
2008,3,16,3/16/2008,0.585
2008,3,17,3/17/2008,0.563
2008,3,18,3/18/2008,0.597
2008,3,19,3/19/2008,0.613
2008,3,20,3/20/2008,0.666
2008,3,21,3/21/2008,0.709
2008,3,22,3/22/2008,0.745
2008,3,23,3/23/2008,0.676
2008,3,24,3/24/2008,0.644
2008,3,25,3/25/2008,0.6
2008,3,26,3/26/2008,0.601
2008,3,27,3/27/2008,0.492
2008,3,28,3/28/2008,0.495
2008,3,29,3/29/2008,0.452
2008,3,30,3/30/2008,0.393
2008,3,31,3/31/2008,0.421
2008,4,1,4/1/2008,0.494
2008,4,2,4/2/2008,0.551
2008,4,3,4/3/2008,0.634
2008,4,4,4/4/2008,0.727
2008,4,5,4/5/2008,0.783
2008,4,6,4/6/2008,0.91
2008,4,7,4/7/2008,0.915
2008,4,8,4/8/2008,0.867
2008,4,9,4/9/2008,0.832
2008,4,10,4/10/2008,0.78
2008,4,11,4/11/2008,0.714
2008,4,12,4/12/2008,0.686
2008,4,13,4/13/2008,0.637
2008,4,14,4/14/2008,0.618
2008,4,15,4/15/2008,0.591
2008,4,16,4/16/2008,0.704
2008,4,17,4/17/2008,0.663
2008,4,18,4/18/2008,0.717
2008,4,19,4/19/2008,0.753
2008,4,20,4/20/2008,0.736
2008,4,21,4/21/2008,0.702
2008,4,22,4/22/2008,0.676
2008,4,23,4/23/2008,0.615
2008,4,24,4/24/2008,0.613
2008,4,25,4/25/2008,0.528
2008,4,26,4/26/2008,0.562
2008,4,27,4/27/2008,0.469
2008,4,28,4/28/2008,0.466
2008,4,29,4/29/2008,0.533
2008,4,30,4/30/2008,0.564
2008,5,1,5/1/2008,0.647
2008,5,2,5/2/2008,0.751
2008,5,3,5/3/2008,0.884
2008,5,4,5/4/2008,0.953
2008,5,5,5/5/2008,1.027
2008,5,6,5/6/2008,0.962
2008,5,7,5/7/2008,0.961
2008,5,8,5/8/2008,0.812
2008,5,9,5/9/2008,0.78
2008,5,10,5/10/2008,0.643
2008,5,11,5/11/2008,0.604
2008,5,12,5/12/2008,0.547
2008,5,13,5/13/2008,0.571
2008,5,14,5/14/2008,0.588
2008,5,15,5/15/2008,0.578
2008,5,16,5/16/2008,0.636
2008,5,17,5/17/2008,0.65
2008,5,18,5/18/2008,0.605
2008,5,19,5/19/2008,0.634
2008,5,20,5/20/2008,0.617
2008,5,21,5/21/2008,0.617
2008,5,22,5/22/2008,0.61
2008,5,23,5/23/2008,0.631
2008,5,24,5/24/2008,0.579
2008,5,25,5/25/2008,0.542
2008,5,26,5/26/2008,0.529
2008,5,27,5/27/2008,0.521
2008,5,28,5/28/2008,0.542
2008,5,29,5/29/2008,0.592
2008,5,30,5/30/2008,0.641
2008,5,31,5/31/2008,0.731
2008,6,1,6/1/2008,0.799
2008,6,2,6/2/2008,0.843
2008,6,3,6/3/2008,0.88
2008,6,4,6/4/2008,0.881
2008,6,5,6/5/2008,0.826
2008,6,6,6/6/2008,0.799
2008,6,7,6/7/2008,0.744
2008,6,8,6/8/2008,0.657
2008,6,9,6/9/2008,0.604
2008,6,10,6/10/2008,0.632
2008,6,11,6/11/2008,0.556
2008,6,12,6/12/2008,0.567
2008,6,13,6/13/2008,0.555
2008,6,14,6/14/2008,0.612
2008,6,15,6/15/2008,0.609
2008,6,16,6/16/2008,0.59
2008,6,17,6/17/2008,0.637
2008,6,18,6/18/2008,0.667
2008,6,19,6/19/2008,0.624
2008,6,20,6/20/2008,0.655
2008,6,21,6/21/2008,0.618
2008,6,22,6/22/2008,0.617
2008,6,23,6/23/2008,0.61
2008,6,24,6/24/2008,0.609
2008,6,25,6/25/2008,0.531
2008,6,26,6/26/2008,0.54
2008,6,27,6/27/2008,0.588
2008,6,28,6/28/2008,0.628
2008,6,29,6/29/2008,0.691
2008,6,30,6/30/2008,0.759
2008,7,1,7/1/2008,0.802
2008,7,2,7/2/2008,0.818
2008,7,3,7/3/2008,0.817
2008,7,4,7/4/2008,0.824
2008,7,5,7/5/2008,0.768
2008,7,6,7/6/2008,0.707
2008,7,7,7/7/2008,0.713
2008,7,8,7/8/2008,0.611
2008,7,9,7/9/2008,0.591
2008,7,10,7/10/2008,0.533
2008,7,11,7/11/2008,0.513
2008,7,12,7/12/2008,0.517
2008,7,13,7/13/2008,0.524
2008,7,14,7/14/2008,0.558
2008,7,15,7/15/2008,0.582
2008,7,16,7/16/2008,0.618
2008,7,17,7/17/2008,0.617
2008,7,18,7/18/2008,0.636
2008,7,19,7/19/2008,0.672
2008,7,20,7/20/2008,0.652
2008,7,21,7/21/2008,0.658
2008,7,22,7/22/2008,0.623
2008,7,23,7/23/2008,0.632
2008,7,24,7/24/2008,0.613
2008,7,25,7/25/2008,0.634
2008,7,26,7/26/2008,0.659
2008,7,27,7/27/2008,0.662
2008,7,28,7/28/2008,0.706
2008,7,29,7/29/2008,0.733
2008,7,30,7/30/2008,0.761
2008,7,31,7/31/2008,0.829
2008,8,1,8/1/2008,0.814
2008,8,2,8/2/2008,0.795
2008,8,3,8/3/2008,0.734
2008,8,4,8/4/2008,0.706
2008,8,5,8/5/2008,0.675
2008,8,6,8/6/2008,0.634
2008,8,7,8/7/2008,0.569
2008,8,8,8/8/2008,0.552
2008,8,9,8/9/2008,0.488
2008,8,10,8/10/2008,0.464
2008,8,11,8/11/2008,0.431
2008,8,12,8/12/2008,0.529
2008,8,13,8/13/2008,0.536
2008,8,14,8/14/2008,0.565
2008,8,15,8/15/2008,0.616
2008,8,16,8/16/2008,0.692
2008,8,17,8/17/2008,0.682
2008,8,18,8/18/2008,0.893
2008,8,19,8/19/2008,0.718
2008,8,20,8/20/2008,0.695
2008,8,21,8/21/2008,0.688
2008,8,22,8/22/2008,0.645
2008,8,23,8/23/2008,0.634
2008,8,24,8/24/2008,0.63
2008,8,25,8/25/2008,0.61
2008,8,26,8/26/2008,0.629
2008,8,27,8/27/2008,0.689
2008,8,28,8/28/2008,0.762
2008,8,29,8/29/2008,0.793
2008,8,30,8/30/2008,0.804
2008,8,31,8/31/2008,0.786
2008,9,1,9/1/2008,0.776
2008,9,2,9/2/2008,0.749
2008,9,3,9/3/2008,0.666
2008,9,4,9/4/2008,0.616
2008,9,5,9/5/2008,0.563
2008,9,6,9/6/2008,0.533
2008,9,7,9/7/2008,0.483
2008,9,8,9/8/2008,0.428
2008,9,9,9/9/2008,0.399
2008,9,10,9/10/2008,0.498
2008,9,11,9/11/2008,0.53
2008,9,12,9/12/2008,0.64
2008,9,13,9/13/2008,0.635
2008,9,14,9/14/2008,0.705
2008,9,15,9/15/2008,0.735
2008,9,16,9/16/2008,0.748
2008,9,17,9/17/2008,0.806
2008,9,18,9/18/2008,0.818
2008,9,19,9/19/2008,0.778
2008,9,20,9/20/2008,0.73
2008,9,21,9/21/2008,0.676
2008,9,22,9/22/2008,0.646
2008,9,23,9/23/2008,0.606
2008,9,24,9/24/2008,0.667
2008,9,25,9/25/2008,0.677
2008,9,26,9/26/2008,0.739
2008,9,27,9/27/2008,0.76
2008,9,28,9/28/2008,0.787
2008,9,29,9/29/2008,0.806
2008,9,30,9/30/2008,0.742
2008,10,1,10/1/2008,0.746
2008,10,2,10/2/2008,0.685
2008,10,3,10/3/2008,0.62
2008,10,4,10/4/2008,0.582
2008,10,5,10/5/2008,0.5
2008,10,6,10/6/2008,0.453
2008,10,7,10/7/2008,0.43
2008,10,8,10/8/2008,0.409
2008,10,9,10/9/2008,0.502
2008,10,10,10/10/2008,0.516
2008,10,11,10/11/2008,0.578
2008,10,12,10/12/2008,0.626
2008,10,13,10/13/2008,0.72
2008,10,14,10/14/2008,0.81
2008,10,15,10/15/2008,0.882
2008,10,16,10/16/2008,0.865
2008,10,17,10/17/2008,0.841
2008,10,18,10/18/2008,0.797
2008,10,19,10/19/2008,0.753
2008,10,20,10/20/2008,0.672
2008,10,21,10/21/2008,0.621
2008,10,22,10/22/2008,0.604
2008,10,23,10/23/2008,0.589
2008,10,24,10/24/2008,0.657
2008,10,25,10/25/2008,0.657
2008,10,26,10/26/2008,0.67
2008,10,27,10/27/2008,0.721
2008,10,28,10/28/2008,0.716
2008,10,29,10/29/2008,0.735
2008,10,30,10/30/2008,0.749
2008,10,31,10/31/2008,0.648
2008,11,1,11/1/2008,0.645
2008,11,2,11/2/2008,0.562
2008,11,3,11/3/2008,0.534
2008,11,4,11/4/2008,0.499
2008,11,5,11/5/2008,0.464
2008,11,6,11/6/2008,0.442
2008,11,7,11/7/2008,0.498
2008,11,8,11/8/2008,0.565
2008,11,9,11/9/2008,0.691
2008,11,10,11/10/2008,0.69
2008,11,11,11/11/2008,0.777
2008,11,12,11/12/2008,0.857
2008,11,13,11/13/2008,0.846
2008,11,14,11/14/2008,0.877
2008,11,15,11/15/2008,0.852
2008,11,16,11/16/2008,0.804
2008,11,17,11/17/2008,0.8
2008,11,18,11/18/2008,0.744
2008,11,19,11/19/2008,0.639
2008,11,20,11/20/2008,0.604
2008,11,21,11/21/2008,0.613
2008,11,22,11/22/2008,0.667
2008,11,23,11/23/2008,0.61
2008,11,24,11/24/2008,0.7
2008,11,25,11/25/2008,0.643
2008,11,26,11/26/2008,0.684
2008,11,27,11/27/2008,0.693
2008,11,28,11/28/2008,0.656
2008,11,29,11/29/2008,0.666
2008,11,30,11/30/2008,0.628
2008,12,1,12/1/2008,0.559
2008,12,2,12/2/2008,0.488
2008,12,3,12/3/2008,0.525
2008,12,4,12/4/2008,0.494
2008,12,5,12/5/2008,0.492
2008,12,6,12/6/2008,0.538
2008,12,7,12/7/2008,0.612
2008,12,8,12/8/2008,0.637
2008,12,9,12/9/2008,0.66
2008,12,10,12/10/2008,0.694
2008,12,11,12/11/2008,0.816
2008,12,12,12/12/2008,0.846
2008,12,13,12/13/2008,0.867
2008,12,14,12/14/2008,0.857
2008,12,15,12/15/2008,0.772
2008,12,16,12/16/2008,0.768
2008,12,17,12/17/2008,0.707
2008,12,18,12/18/2008,0.619
2008,12,19,12/19/2008,0.658
2008,12,20,12/20/2008,0.564
2008,12,21,12/21/2008,0.568
2008,12,22,12/22/2008,0.545
2008,12,23,12/23/2008,0.552
2008,12,24,12/24/2008,0.605
2008,12,25,12/25/2008,0.588
2008,12,26,12/26/2008,0.598
2008,12,27,12/27/2008,0.627
2008,12,28,12/28/2008,0.574
2008,12,29,12/29/2008,0.617
2008,12,30,12/30/2008,0.669
2008,12,31,12/31/2008,0.593
2009,1,1,1/1/2009,0.616
2009,1,2,1/2/2009,0.587
2009,1,3,1/3/2009,0.557
2009,1,4,1/4/2009,0.571
2009,1,5,1/5/2009,0.568
2009,1,6,1/6/2009,0.637
2009,1,7,1/7/2009,0.732
2009,1,8,1/8/2009,0.71
2009,1,9,1/9/2009,0.754
2009,1,10,1/10/2009,0.852
2009,1,11,1/11/2009,0.849
2009,1,12,1/12/2009,0.815
2009,1,13,1/13/2009,0.846
2009,1,14,1/14/2009,0.744
2009,1,15,1/15/2009,0.677
2009,1,16,1/16/2009,0.601
2009,1,17,1/17/2009,0.551
2009,1,18,1/18/2009,0.57
2009,1,19,1/19/2009,0.541
2009,1,20,1/20/2009,0.667
2009,1,21,1/21/2009,0.504
2009,1,22,1/22/2009,0.504
2009,1,23,1/23/2009,0.537
2009,1,24,1/24/2009,0.591
2009,1,25,1/25/2009,0.595
2009,1,26,1/26/2009,0.67
2009,1,27,1/27/2009,0.638
2009,1,28,1/28/2009,0.634
2009,1,29,1/29/2009,0.64
2009,1,30,1/30/2009,0.677
2009,1,31,1/31/2009,0.612
2009,2,1,2/1/2009,0.61
2009,2,2,2/2/2009,0.574
2009,2,3,2/3/2009,0.648
2009,2,4,2/4/2009,0.615
2009,2,5,2/5/2009,0.613
2009,2,6,2/6/2009,0.652
2009,2,7,2/7/2009,0.692
2009,2,8,2/8/2009,0.745
2009,2,9,2/9/2009,0.789
2009,2,10,2/10/2009,0.843
2009,2,11,2/11/2009,0.817
2009,2,12,2/12/2009,0.727
2009,2,13,2/13/2009,0.671
2009,2,14,2/14/2009,0.626
2009,2,15,2/15/2009,0.617
2009,2,16,2/16/2009,0.583
2009,2,17,2/17/2009,0.466
2009,2,18,2/18/2009,0.457
2009,2,19,2/19/2009,0.524
2009,2,20,2/20/2009,0.488
2009,2,21,2/21/2009,0.559
2009,2,22,2/22/2009,0.567
2009,2,23,2/23/2009,0.628
2009,2,24,2/24/2009,0.64
2009,2,25,2/25/2009,0.667
2009,2,26,2/26/2009,0.696
